split,target,model,MAE,RMSE,R2
test,Revenue,Revenue_xgb,523688.6260127737,715713.6093096329,0.8136343156764205
test,Revenue,Revenue_lgb,547757.5975514469,766952.2479772067,0.7859949375746971
test,Revenue,Revenue_blend,528484.7020468279,729423.9585899223,0.806425812278024
test,Revenue,Revenue_final,523688.6260127737,715713.6093096329,0.8136343156764205

test,COGS,COGS_xgb_direct,454452.5454105839,626159.5727789254,0.8077327744845945
test,COGS,COGS_lgb_direct,467390.12753029965,657115.326417249,0.788252445294891
test,COGS,COGS_direct_blend,456343.9612102254,631303.7936524651,0.804560650459086
test,COGS,COGS_ratio_based,471077.1128395918,653775.7349263614,0.7903992629503492
test,COGS,COGS_blend,456062.12741114665,632758.2722466202,0.8036590566044548
test,COGS,COGS_final,454452.5454105839,626159.5727789254,0.8077327744845945
